package	version	repository	optional	size	sha256	url
libcrypt	0.2-6	main	false	8880	6c283eed576b98cc3568f99638156f8588f77d979579d03bef8683d6eb8601e1	https://packages.termux.dev/apt/termux-main/pool/main/libc/libcrypt/libcrypt_0.2-6_aarch64.deb
libcurl	8.21.0	main	false	1017056	ad644c7e16183d40eaf0f55df339021a69b25cc9b390e9634251e681be1ddcb8	https://packages.termux.dev/apt/termux-main/pool/main/libc/libcurl/libcurl_8.21.0_aarch64.deb
libdav1d	1.5.4	main	false	265960	4c2ffdcbbb805727caaa2e91b56917830dbacf4245dd439cf2e1c0d61a541613	https://packages.termux.dev/apt/termux-main/pool/main/libd/libdav1d/libdav1d_1.5.4_aarch64.deb
libdb	18.1.40-6	main	false	496988	60bfb4e8bed834d334806f39aae27ffc11ab819f2da2f9abb7a3b2d37970a532	https://packages.termux.dev/apt/termux-main/pool/main/libd/libdb/libdb_18.1.40-6_aarch64.deb
libde265	1.1.1	main	false	192672	dd971fa634db60823f40da521a2a76d3fc5f0aa0be149faf79403d2e7a6b5224	https://packages.termux.dev/apt/termux-main/pool/main/libd/libde265/libde265_1.1.1_aarch64.deb
libdrm	2.4.134	main	false	180604	0cbe82140cf325c15473fbf53a3711fc7a2fb88e36a3eea58a3267c461ab4a17	https://packages.termux.dev/apt/termux-main/pool/main/libd/libdrm/libdrm_2.4.134_aarch64.deb
libdvdnav	7.0.0	main	false	49404	fd8509a88b5966cdadf9925b2687e50c31d796e773cb326e651e76c0a3b16958	https://packages.termux.dev/apt/termux-main/pool/main/libd/libdvdnav/libdvdnav_7.0.0_aarch64.deb
libdvdread	7.1.1	main	false	78252	8e1606f7d2aec40c9e8f748ab595cf0f684c998b4642bc59fa6b18b5fe1d2fb0	https://packages.termux.dev/apt/termux-main/pool/main/libd/libdvdread/libdvdread_7.1.1_aarch64.deb
libedit	20260512-3.1-0	main	false	79888	728da8f45e9c0027f0c5844346dd8cea153a43394bceee36a257972acf0ed440	https://packages.termux.dev/apt/termux-main/pool/main/libe/libedit/libedit_20260512-3.1-0_aarch64.deb
libevent	2.1.13	main	false	202848	cf99e8e6cd1218c0e4956d2ee69efbb26520211b3e03407463eac9016fe55f25	https://packages.termux.dev/apt/termux-main/pool/main/libe/libevent/libevent_2.1.13_aarch64.deb
libexpat	2.8.3	main	false	96240	86dac6db293a44dc2689d4a28fdba96e38fccd378a9c9ef17b4e840b4cf4d81c	https://packages.termux.dev/apt/termux-main/pool/main/libe/libexpat/libexpat_2.8.3_aarch64.deb
libffi	3.5.2	main	false	31128	8c8c1d6ffb049d8496a21c1202d9b4dc9145140886fdbb45716684565f4ed3f5	https://packages.termux.dev/apt/termux-main/pool/main/libf/libffi/libffi_3.5.2_aarch64.deb
libflac	1.5.0-1	main	false	202828	d1d6fcac6fd6d15c36f34464cb01d5e2140e321d8448dfc396cd7eb1536b1f6c	https://packages.termux.dev/apt/termux-main/pool/main/libf/libflac/libflac_1.5.0-1_aarch64.deb
libgcrypt	1.12.2	main	false	513176	52283f62c1160fb4fbde5e37772617cf99abe3d27e5d98b2cb4c6f04b22d7d90	https://packages.termux.dev/apt/termux-main/pool/main/libg/libgcrypt/libgcrypt_1.12.2_aarch64.deb
libgd	1:2.3.3-7	main	false	126060	6453d3e80a96333638889e4c325aff2f33d478c53cb51062b84d4ae176d9f4d7	https://packages.termux.dev/apt/termux-main/pool/main/libg/libgd/libgd_1%3A2.3.3-7_aarch64.deb
libgmp	6.3.0-2	main	false	328368	5a3c1325638946ca212ddcb89bffb2c4459b4c90757d6e69f820e176534037fa	https://packages.termux.dev/apt/termux-main/pool/main/libg/libgmp/libgmp_6.3.0-2_aarch64.deb
libgnutls	3.8.13-1	main	true	776696	eb12f2cf82923caf288edd99bc4c19a9dd0cf1de4a03855ff4457a1bbdae146d	https://packages.termux.dev/apt/termux-main/pool/main/libg/libgnutls/libgnutls_3.8.13-1_aarch64.deb
libgpg-error	1.61	main	false	121284	452afa22fe36e4d79679e91eae6e22855dd1f855e2a7e1840736279b26611d8f	https://packages.termux.dev/apt/termux-main/pool/main/libg/libgpg-error/libgpg-error_1.61_aarch64.deb
libgraphite	1.3.15	main	false	82208	15ac85737a35150cecb9e46ecb32567ae2a4fc28071cdf58fb95e1b77d7889d9	https://packages.termux.dev/apt/termux-main/pool/main/libg/libgraphite/libgraphite_1.3.15_aarch64.deb
libheif	1.23.1-1	main	false	572716	b0877a2b777820d7e2034685cfcdc8f7bc08e217605dd4ab511cfd3a73e64140	https://packages.termux.dev/apt/termux-main/pool/main/libh/libheif/libheif_1.23.1-1_aarch64.deb
libiconv	1.18-1	main	false	561152	b19e6f348034bb48d2a5590b5cb242769f682c476717374d134d004cc663dc84	https://packages.termux.dev/apt/termux-main/pool/main/libi/libiconv/libiconv_1.18-1_aarch64.deb
libicu	78.3	main	false	10210396	f536403f65a08fe0df6e7304184e902d54def77d5c3bd5edfd9109d57601d276	https://packages.termux.dev/apt/termux-main/pool/main/libi/libicu/libicu_78.3_aarch64.deb
libid3tag	0.16.4-1	main	false	30556	3e472561e6791800f674a6fb6781cc600f57144eba83ea5bc08985ce5fb6cb3a	https://packages.termux.dev/apt/termux-main/pool/main/libi/libid3tag/libid3tag_0.16.4-1_aarch64.deb
libidn2	2.3.8-1	main	false	105308	a450a1ba25759ebf78738484a3efee316c51a1fe7bafb0b01a68e2c058a91020	https://packages.termux.dev/apt/termux-main/pool/main/libi/libidn2/libidn2_2.3.8-1_aarch64.deb
libjpeg-turbo	3.2.0	main	false	453600	e6339075bcde28b4902d5a51f4063164834abfd2fa115e881ae637a34585e54f	https://packages.termux.dev/apt/termux-main/pool/main/libj/libjpeg-turbo/libjpeg-turbo_3.2.0_aarch64.deb
libjxl	0.12.0	main	false	1497484	3f8821c1aea697a8403e0b01746182c9babf512d47611e9b6de53ecbcc20d048	https://packages.termux.dev/apt/termux-main/pool/main/libj/libjxl/libjxl_0.12.0_aarch64.deb
